SpeciesID,Taxon,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer
0,NoOrganismsPresent,,,,,,,,,,,,,,,,,
1,Aphrocallistes vastus,SILICEA,,Hexactinellida,Hexasterophora,,,Hexactinosa,Scopularia,,,Aphrocallistidae,,,Aphrocallistes,,vastus,Schulze 1886
2,Rhabdocalyptus dawsoni,SILICEA,,Hexactinellida,Hexasterophora,,,Lyssacinosa,,,,Rossellidae,Acanthascinae,,Rhabdocalyptus,,dawsoni,(Lambe 1892)
4,Craniella arb,SILICEA,,Demospongiae,Tetractinomorpha,,,Spirophorida,,,,Tetillidae,,,Craniella,,arb,(de Laubenfels 1930)
5,Stelletta clarella,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Anchorinidae,,,Stelletta,,clarella,de Laubenfels 1930
6,Geodia mesotriena,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Geodiidae,Geodinae,,Geodia,,mesotriena,von Ledenfeld 1910
7,Poecillastra tenuilaminaris,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Pachastrellidae,,,Poecillastra,,tenuilaminaris,(Sollas 1886)
8,Vulcanella sp A,SILICEA,,Demospongiae,Heteroscleromorpha,,,Tetractinellida,Astrophorina,,,Vulcanellidae,,,Vulcanella,,sp A,(Green & Bakus 1994)
9,Spheciospongia confoederata,SILICEA,,Demospongiae,Tetractinomorpha,,,Hadromerida,,,,Spirastrellidae,,,Spheciospongia,,confoederata,de Laubenfels 1930
11,Tethya californiana,SILICEA,,Demospongiae,Tetractinomorpha,,,Hadromerida,,,,Tethyidae,,,Tethya,,californiana,de Laubenfels 1932
12,Clathria (Microciona) parthena,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Microcionidae,Microcioninae,,Clathria,(Microciona),parthena,(de Laubenfels 1930)
13,Antho (Acarnia) karykina,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Microcionidae,Ophlitaspongiinae,,Antho,(Acarnia),karykina,(de Laubenfels 1927)
14,Raspailia (Raspaxilla) hyle,SILICEA,,Demospongiae,Heteroscleromorpha,,,Axinellida,,,,Raspailiidae,Raspailiinae,,Raspailia,(Raspaxilla),hyle,de Laubenfels 1930
