StationID,Replicate,Index,Index_Score,ConditionClass,ConditionScore
B13-8118,1,SQO_OE,0.5435,Moderate Disturbance,3
B13-8121,1,SQO_OE,0.7183,Moderate Disturbance,3
B13-8122,1,SQO_OE,0.9238,Reference,1
B13-8123,1,SQO_OE,1.0453,Reference,1
B13-8124,1,SQO_OE,0.8737,Low Disturbance,2
B13-8127,1,SQO_OE,0.4835,Moderate Disturbance,3
B13-9315,1,BRI,16,Reference,1
B13-9316,1,BRI,17,Reference,1
B13-9319,1,BRI,4,Reference,1
B13-9320,1,BRI,14,Reference,1
B13-9321,1,BRI,28,Low Disturbance,2
B13-9323,1,BRI,26,Low Disturbance,2
B13-9326,1,BRI,25,Reference,1
B13-9329,1,BRI,11,Reference,1
B13-9331,1,BRI,24,Reference,1
B13-9336,1,BRI,31,Low Disturbance,2
B13-9339,1,BRI,17,Reference,1
B13-9341,1,BRI,28,Low Disturbance,2
B13-9343,1,BRI,26,Low Disturbance,2
B13-9345,1,BRI,12,Reference,1
B13-9346,1,BRI,20,Reference,1
B13-9350,1,BRI,20,Reference,1
B13-9351,1,BRI,16,Reference,1
B13-9356,1,BRI,14,Reference,1
B13-9357,1,BRI,15,Reference,1
B13-9359,1,BRI,33,Low Disturbance,2
B13-9360,1,BRI,20,Reference,1
B13-9363,1,BRI,27,Low Disturbance,2
B13-9365,1,BRI,23,Reference,1
B13-9366,1,BRI,24,Reference,1
B13-9372,1,BRI,11,Reference,1
B13-9373,1,BRI,15,Reference,1
B13-9375,1,BRI,27,Low Disturbance,2
B13-9376,1,BRI,15,Reference,1
B13-9377,1,BRI,16,Reference,1
B13-9378,1,BRI,28,Low Disturbance,2
B13-9383,1,BRI,12,Reference,1
B13-9395,1,BRI,8,Reference,1
B13-9397,1,BRI,26,Low Disturbance,2
B13-8128,1,SQO_OE,0.4858,Moderate Disturbance,3
B13-8129,1,SQO_OE,0.3851,Moderate Disturbance,3
B13-8134,1,SQO_OE,0.2886,High Disturbance,4
B13-8136,1,SQO_OE,0.198,High Disturbance,4
B13-8145,1,SQO_OE,0.8694,Low Disturbance,2
B13-8146,1,SQO_OE,0.9212,Reference,1
B13-8151,1,SQO_OE,0.6352,Moderate Disturbance,3
B13-8152,1,SQO_OE,0.4003,Moderate Disturbance,3
B13-8156,1,SQO_OE,0.8326,Low Disturbance,2
B13-8157,1,SQO_OE,0.4054,Moderate Disturbance,3
B13-8159,1,SQO_OE,0.6807,Moderate Disturbance,3
B13-8160,1,SQO_OE,0.92,Reference,1
B13-8163,1,SQO_OE,0.7036,Moderate Disturbance,3
B13-9403,1,BRI,16,Reference,1
B13-9407,1,BRI,16,Reference,1
B13-9409,1,BRI,30,Low Disturbance,2
B13-9413,1,BRI,18,Reference,1
B13-9414,1,BRI,14,Reference,1
B13-9415,1,BRI,7,Reference,1
B13-9416,1,BRI,7,Reference,1
B13-9417,1,BRI,15,Reference,1
B13-8002,1,CA_SQO,3,Moderate Disturbance,3
B13-8008,1,CA_SQO,3,Moderate Disturbance,3
B13-8013,1,CA_SQO,3,Moderate Disturbance,3
B13-8014,1,CA_SQO,3,Moderate Disturbance,3
B13-8017,1,CA_SQO,2,Low Disturbance,2
B13-8018,1,CA_SQO,4,High Disturbance,4
B13-8020,1,CA_SQO,2,Low Disturbance,2
B13-8028,1,CA_SQO,2,Low Disturbance,2
B13-8029,1,CA_SQO,2,Low Disturbance,2
B13-8030,1,CA_SQO,3,Moderate Disturbance,3
B13-8031,1,CA_SQO,2,Low Disturbance,2
B13-8033,1,CA_SQO,2,Low Disturbance,2
B13-8036,1,CA_SQO,3,Moderate Disturbance,3
B13-8038,1,CA_SQO,3,Moderate Disturbance,3
