StationID,GrainsizeBin,Percent
A0.5-S,Clay,0.162
A0.5-S,Fines,25.584
A0.5-S,Gravel,0
A0.5-S,NotFines,74.415
A0.5-S,Sand,74.415
A0.5-S,Silt,25.422
A1,Clay,0
A1,Fines,52.067
A1,Gravel,0
A1,NotFines,47.935
A1,Sand,47.935
A1,Silt,52.067
A1-N,Clay,0.159
A1-N,Fines,27.933
A1-N,Gravel,0
A1-N,NotFines,72.07
A1-N,Sand,72.07
A1-N,Silt,27.774
A1-S,Clay,0
A1-S,Fines,31.659
A1-S,Gravel,0
A1-S,NotFines,68.346
A1-S,Sand,68.346
A1-S,Silt,31.659
A2,Clay,0
A2,Fines,44.308
A2,Gravel,0
A2,NotFines,55.694
A2,Sand,55.694
A2,Silt,44.308
A3,Clay,0
A3,Fines,49.307
A3,Gravel,0
A3,NotFines,50.694
A3,Sand,50.694
A3,Silt,49.307
A4,Clay,0.372
A4,Fines,58.75
A4,Gravel,0
A4,NotFines,41.251
A4,Sand,41.251
A4,Silt,58.378
A5,Clay,0
A5,Fines,47.38
A5,Gravel,0
A5,NotFines,52.622
A5,Sand,52.622
A5,Silt,47.38
B03-3001,Clay,1.58
B03-3001,Gravel,0
B03-3001,Sand,77.15
B03-3001,Silt,21.26
B03-4000,Clay,1
B03-4000,Gravel,0
B03-4000,Sand,77.7
B03-4000,Silt,21.29
B03-4001,Clay,11.18
B03-4001,Gravel,0
B03-4001,Sand,4.4
B03-4001,Silt,84.41
B03-4002,Clay,1.4
B03-4002,Gravel,0
B03-4002,Sand,88.34
B03-4002,Silt,10.24
B03-4003,Clay,1.47
B03-4003,Gravel,0
B03-4003,Sand,94.92
B03-4003,Silt,3.6
B03-4004,Clay,4.68
B03-4004,Gravel,0
B03-4004,Sand,40.26
B03-4004,Silt,55.04
B03-4005,Clay,11.16
B03-4005,Gravel,0
B03-4005,Sand,3.69
B03-4005,Silt,85.14
B03-4006,Clay,6.27
B03-4006,Gravel,0
B03-4006,Sand,64.62
B03-4006,Silt,29.18
